id,acidez_fija,acidez_volatil,acido_citrico,azucar_residual,cloruros,dioxido_azufre_libre,dioxido_azufre_total,densidad,ph,sulfatos,alcohol,calidad
545,,0.34,0.42,2.0,0.086,8.0,19.0,0.99546,3.35,0.6,11.4,Excelente
546,7.0,0.54,0.09,2.0,0.081,10.0,16.0,0.99479,3.43,0.59,11.5,Excelente
547,6.6,0.725,0.09,5.5,0.1169999999999999,9.0,17.0,0.99655,3.35,0.49,10.8,Excelente
548,6.6,0.725,0.09,5.5,0.1169999999999999,9.0,17.0,0.99655,,0.49,10.8,Excelente
549,8.6,0.52,0.38,1.5,0.096,5.0,18.0,0.99666,3.2,,9.4,Buena
550,8.4,0.34,0.42,2.1,0.072,23.0,36.0,0.99392,3.11,,12.4,Excelente
551,7.4,0.49,0.27,2.1,0.071,14.0,25.0,0.99388,3.35,0.63,12.0,Excelente
552,8.0,0.48,0.34,2.2,0.073,16.0,25.0,0.9936,3.28,0.66,12.4,Excelente
553,6.3,0.57,0.28,,0.048,13.0,49.0,0.99374,3.41,0.6,12.8,Buena
554,10.8,0.47,0.43,2.1,0.171,27.0,66.0,0.9982,3.17,0.76,10.8,Excelente
555,,0.33,0.41,1.5,0.0559999999999999,6.0,35.0,0.99396,3.29,0.71,11.0,Excelente
556,5.0,0.4,0.5,4.3,0.046,29.0,80.0,0.9902,3.49,0.66,13.6,Excelente
557,7.0,0.69,0.07,2.5,0.091,15.0,21.0,0.99572,3.38,0.6,11.3,Excelente
558,,0.69,0.07,2.5,0.091,15.0,21.0,0.99572,3.38,0.6,11.3,Excelente
559,7.0,0.69,0.07,,0.091,15.0,21.0,0.99572,3.38,0.6,11.3,Excelente
560,7.1,0.39,0.12,2.1,0.065,14.0,24.0,0.99252,3.3,0.53,13.3,Excelente
561,5.6,0.66,0.0,2.5,0.066,7.0,15.0,0.99256,3.52,0.58,12.9,Buena
562,6.3,0.47,0.0,1.4,0.055,27.0,33.0,0.9922,3.45,0.48,12.3,Excelente
563,6.3,0.76,0.0,2.9,0.072,26.0,52.0,0.99379,3.51,0.6,11.5,Excelente
564,,0.43,0.33,2.7,0.095,28.0,89.0,0.9984,3.22,0.68,10.0,Buena
565,8.0,0.25,0.43,1.7,0.067,22.0,50.0,0.9946,3.38,0.6,11.9,Excelente
566,10.4,0.52,0.45,2.0,0.08,6.0,13.0,0.99774,3.22,,11.4,Excelente
567,7.5,0.41,0.15,3.7,0.104,29.0,94.0,0.99786,3.14,0.58,9.1,Buena
568,8.2,0.51,0.24,2.0,0.079,16.0,86.0,0.99764,3.34,,9.5,Excelente
569,7.3,0.4,0.3,1.7,0.08,33.0,79.0,0.9969,3.41,0.65,9.5,Excelente
570,8.2,0.38,0.32,2.5,0.08,24.0,71.0,0.99624,3.27,0.85,11.0,Excelente
571,6.9,0.45,0.11,2.4,0.043,6.0,12.0,0.99354,3.3,0.65,11.4,Excelente
572,7.0,0.22,0.3,1.8,0.065,16.0,20.0,0.99672,3.61,0.82,10.0,Excelente
573,7.3,0.32,0.23,2.3,0.066,35.0,70.0,0.99588,3.43,0.62,10.1,Buena
574,8.2,0.2,0.43,2.5,0.076,31.0,51.0,0.99672,3.53,0.81,10.4,Excelente
575,7.8,,0.12,1.8,0.178,6.0,21.0,0.996,3.28,0.87,9.8,Excelente
576,7.8,0.39,0.42,2.0,0.086,9.0,21.0,0.99526,3.39,0.66,11.6,Excelente
577,10.0,0.35,0.47,2.0,0.061,6.0,11.0,0.99585,3.23,0.52,12.0,Excelente
578,6.1,0.58,0.23,2.5,0.044,16.0,70.0,0.99352,3.46,0.65,12.5,Excelente
579,8.3,0.6,0.25,2.2,0.118,9.0,38.0,0.99616,3.15,0.53,9.8,Buena
580,9.6,0.42,0.35,2.1,0.083,17.0,38.0,0.99622,3.23,0.66,11.1,Excelente
581,8.3,,0.25,2.2,0.118,9.0,38.0,0.99616,3.15,0.53,9.8,Buena
582,9.0,0.785,0.24,1.7,0.078,10.0,21.0,0.99692,3.29,0.67,10.0,Buena
583,6.5,0.34,0.27,2.8,0.067,8.0,44.0,0.99384,3.21,0.56,12.0,Excelente
584,7.6,0.5,0.29,2.3,0.086,5.0,14.0,0.99502,3.32,0.62,11.5,Excelente
585,9.2,0.36,0.34,1.6,0.062,5.0,12.0,0.99667,3.2,0.67,10.5,Excelente
586,,0.36,0.31,1.7,0.079,26.0,65.0,0.99716,3.46,0.62,9.5,Excelente
587,7.6,0.36,0.31,1.7,0.079,26.0,65.0,0.99716,3.46,0.62,9.5,Excelente
588,6.5,0.88,0.03,5.6,0.079,23.0,47.0,0.99572,3.58,0.5,11.2,Aceptable
589,,0.915,0.0,2.1,0.0409999999999999,17.0,78.0,0.99346,3.68,0.73,11.4,Buena
590,8.2,0.35,0.33,2.4,0.076,11.0,47.0,0.99599,3.27,0.81,11.0,Excelente
591,,0.39,0.43,1.65,0.068,5.0,11.0,0.99478,3.19,,11.4,Buena
592,6.8,0.66,0.07,1.6,0.07,16.0,61.0,0.99572,3.29,0.6,9.3,Buena
593,6.7,0.64,0.23,2.1,0.08,11.0,119.0,0.99538,3.36,0.7,10.9,Buena
594,6.7,0.64,0.23,2.1,0.08,11.0,119.0,0.99538,3.36,0.7,10.9,Buena
595,8.8,0.955,0.05,1.8,0.075,5.0,19.0,0.99616,3.3,0.44,9.6,Aceptable
596,6.5,0.885,0.0,2.3,0.166,6.0,12.0,0.99551,3.56,0.51,10.8,Buena
597,7.0,0.745,0.12,1.8,0.114,15.0,64.0,0.99588,,0.59,9.5,Excelente
598,7.7,0.57,0.21,1.5,0.069,4.0,9.0,0.99458,3.16,0.54,9.8,Excelente
599,7.9,0.58,0.23,2.3,0.076,23.0,94.0,0.99686,3.21,0.58,9.5,Excelente
600,9.9,,0.19,5.8,0.111,33.0,76.0,0.99878,3.14,0.55,9.4,Buena
601,9.9,0.72,0.55,1.7,0.136,24.0,52.0,0.99752,3.35,0.94,10.0,Buena
602,6.8,0.65,0.02,2.1,0.078,8.0,15.0,0.99498,3.35,0.62,10.4,Excelente
603,10.2,0.33,0.46,1.9,0.081,6.0,9.0,0.99628,3.1,,10.4,Excelente
604,7.9,0.57,0.31,2.0,0.079,10.0,79.0,0.99677,3.29,0.69,9.5,Excelente
605,10.9,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,3.28,0.77,11.5,Excelente
606,10.9,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,3.28,0.77,11.5,Excelente
607,12.6,0.39,0.49,,0.08,8.0,20.0,0.9992,3.07,0.82,10.3,Excelente
608,7.5,,0.03,4.1,0.08,27.0,46.0,0.99592,3.02,,9.2,Buena
609,9.0,0.58,0.25,2.0,0.104,8.0,21.0,0.99769,3.27,0.72,9.6,Buena
610,7.6,0.43,0.29,2.1,0.075,19.0,66.0,0.99718,3.4,0.64,9.5,Buena
611,7.8,0.815,0.01,2.6,0.074,48.0,90.0,0.99621,3.38,,10.8,Buena
612,,0.43,0.29,2.1,0.075,19.0,66.0,0.99718,3.4,0.64,9.5,Buena
613,7.1,0.75,0.01,2.2,0.059,11.0,18.0,0.99242,3.39,0.4,12.8,Excelente
614,7.8,0.55,0.0,1.7,0.07,7.0,17.0,0.99659,3.26,0.64,9.4,Excelente
615,7.1,,0.01,2.2,0.059,11.0,18.0,0.99242,3.39,0.4,12.8,Excelente
616,8.1,0.73,0.0,2.5,0.081,12.0,24.0,0.99798,3.38,0.46,9.6,Aceptable
617,6.5,,0.0,4.3,0.057,11.0,20.0,0.99488,,0.56,11.8,Aceptable
618,7.5,0.61,0.2,1.7,0.076,36.0,60.0,0.99494,3.1,0.4,9.3,Buena
619,8.3,0.56,0.22,2.4,0.0819999999999999,10.0,86.0,0.9983,3.37,0.62,9.5,Buena
620,7.4,,0.19,1.8,0.0819999999999999,15.0,34.0,0.99655,3.49,0.68,10.5,Buena
621,7.4,0.74,0.07,1.7,0.086,15.0,48.0,0.99502,3.12,0.48,10.0,Buena
622,7.1,0.6,0.01,2.3,0.079,24.0,37.0,0.99514,3.4,0.61,10.9,Excelente
623,7.5,0.58,0.14,2.2,0.077,27.0,60.0,0.9963,3.28,0.59,9.8,Buena
624,7.1,0.72,0.0,1.8,0.123,6.0,14.0,0.99627,3.45,0.58,9.8,Buena
625,7.9,0.66,0.0,1.4,0.096,6.0,13.0,0.99569,3.43,0.58,9.5,Buena
626,7.8,0.7,0.06,1.9,0.079,20.0,35.0,0.99628,3.4,0.69,10.9,Buena
627,7.5,0.59,0.22,1.8,0.0819999999999999,43.0,60.0,0.99499,3.1,0.42,9.2,Buena
628,7.0,0.58,0.28,4.8,0.085,12.0,69.0,0.99633,3.32,0.7,11.0,Excelente
629,6.8,0.64,0.0,2.7,0.123,15.0,33.0,0.99538,3.44,,11.3,Excelente
630,8.6,0.635,0.68,1.8,0.4029999999999999,19.0,56.0,0.99632,3.02,,9.3,Buena
631,9.8,0.45,0.38,2.5,0.081,34.0,66.0,0.99726,3.15,0.58,9.8,Buena
632,8.5,0.37,0.32,1.8,0.066,26.0,51.0,0.99456,3.38,0.72,11.8,Excelente
633,7.2,0.57,0.05,2.3,0.081,16.0,36.0,0.99564,3.38,0.6,10.3,Excelente
634,7.2,,0.05,2.3,0.081,16.0,36.0,0.99564,3.38,0.6,10.3,Excelente
635,10.4,0.43,0.5,2.3,0.068,13.0,19.0,0.996,3.1,0.87,11.4,Excelente
636,6.9,0.41,0.31,,0.079,21.0,51.0,0.99668,3.47,0.55,9.5,Excelente
637,5.0,0.38,0.01,1.6,0.048,26.0,60.0,0.99084,3.7,0.75,14.0,Excelente
638,7.3,0.44,0.2,1.6,0.049,24.0,64.0,0.9935,3.38,0.57,11.7,Excelente
639,5.9,0.46,0.0,1.9,0.077,25.0,44.0,0.99385,3.5,0.53,11.2,Buena
640,7.5,0.58,0.2,2.0,0.073,34.0,44.0,0.99494,3.1,0.43,9.3,Buena
641,7.8,0.58,0.13,2.1,0.102,17.0,36.0,0.9944,3.24,0.53,11.2,Excelente
642,8.0,0.715,0.22,2.3,0.075,13.0,81.0,0.99688,3.24,0.54,9.5,Excelente
643,8.5,0.4,0.4,6.3,0.05,3.0,10.0,0.99566,3.28,0.56,12.0,Aceptable
644,7.0,0.69,0.0,,0.114,3.0,10.0,0.99636,3.35,0.6,9.7,Excelente
645,8.0,0.715,0.22,2.3,0.075,13.0,81.0,0.99688,3.24,0.54,9.5,Excelente
646,7.1,,0.2,1.9,0.077,28.0,54.0,0.9956,3.37,0.64,10.4,Excelente
647,7.1,0.46,0.2,1.9,0.077,28.0,54.0,0.9956,3.37,0.64,10.4,Excelente
648,7.9,0.765,0.0,2.0,0.084,9.0,22.0,0.99619,3.33,0.68,10.9,Excelente
649,8.7,0.63,0.28,2.7,0.096,17.0,69.0,0.99734,3.26,,10.2,Excelente
650,7.0,0.42,0.19,2.3,0.071,18.0,36.0,0.99476,3.39,0.56,10.9,Buena
651,11.3,0.37,0.5,1.8,0.09,20.0,47.0,0.99734,3.15,0.57,10.5,Buena
652,7.0,0.6,0.3,4.5,0.068,20.0,110.0,0.99914,3.3,1.17,10.2,Buena
653,7.0,0.6,0.3,4.5,0.068,20.0,110.0,0.99914,3.3,1.17,10.2,Buena
654,7.6,0.74,0.0,1.9,0.1,6.0,12.0,0.99521,3.36,0.59,11.0,Buena
655,8.2,0.635,0.1,2.1,0.073,25.0,60.0,0.99638,3.29,0.75,10.9,Excelente
656,5.9,0.395,0.13,,0.0559999999999999,14.0,28.0,0.99362,3.62,0.67,12.4,Excelente
657,,0.63,0.0,4.3,0.093,51.0,77.5,0.99558,3.2,0.45,9.5,Buena
658,7.2,0.53,0.14,2.1,0.064,15.0,29.0,0.99323,3.35,0.61,12.1,Excelente
659,5.7,0.6,0.0,1.4,0.063,11.0,18.0,0.99191,3.45,0.56,12.2,Excelente
660,5.2,0.645,0.0,2.15,0.08,15.0,28.0,0.99444,3.78,0.61,12.5,Excelente
661,6.7,0.86,0.07,2.0,0.1,20.0,57.0,0.99598,3.6,0.74,11.7,Excelente
662,9.1,0.37,0.32,2.1,0.064,4.0,15.0,0.99576,3.3,0.8,11.2,Excelente
663,7.6,0.79,0.21,2.3,0.087,21.0,68.0,0.9955,3.12,0.44,9.2,Buena
664,7.5,0.61,0.26,1.9,0.073,24.0,88.0,0.99612,3.3,0.53,9.8,Buena
665,9.7,0.69,0.32,2.5,0.088,22.0,91.0,0.9979,3.29,0.62,10.1,Buena
666,6.5,0.51,0.15,3.0,0.064,12.0,27.0,0.9929,3.33,0.59,12.8,Excelente
667,8.0,1.18,0.21,1.9,0.083,14.0,41.0,0.99532,3.34,0.47,10.5,Buena
668,5.4,0.74,0.0,1.2,0.0409999999999999,16.0,46.0,0.99258,4.01,0.59,12.5,Excelente
669,9.1,0.76,0.68,1.7,0.414,18.0,64.0,0.99652,2.9,1.33,9.1,Excelente
670,5.0,0.74,0.0,1.2,0.0409999999999999,16.0,46.0,0.99258,4.01,,12.5,Excelente
671,9.1,0.34,0.42,1.8,0.0579999999999999,9.0,18.0,0.99392,3.18,0.55,11.4,Buena
672,6.7,0.46,0.24,1.7,0.077,18.0,34.0,0.9948,3.39,0.6,10.6,Excelente
673,6.7,,0.24,1.7,0.077,18.0,34.0,0.9948,3.39,0.6,10.6,Excelente
674,6.7,0.46,0.24,1.7,0.077,18.0,34.0,0.9948,3.39,,10.6,Excelente
675,6.5,0.52,0.11,1.8,0.073,13.0,38.0,0.9955,3.34,0.52,9.3,Buena
676,7.4,0.6,0.26,2.1,0.083,17.0,91.0,0.99616,3.29,0.56,9.8,Excelente
677,7.4,0.6,0.26,2.1,0.083,17.0,91.0,0.99616,3.29,0.56,9.8,Excelente
678,8.4,0.39,0.1,1.7,0.075,6.0,25.0,0.99581,3.09,0.43,9.7,Excelente
679,9.1,0.775,0.22,2.2,0.079,12.0,48.0,0.9976,3.18,,9.6,Buena
680,7.2,0.835,0.0,2.0,0.166,4.0,11.0,0.99608,3.39,0.52,10.0,Buena
681,6.0,0.5,0.0,1.4,0.057,15.0,26.0,0.99448,3.36,0.45,9.5,Buena
682,6.0,0.5,0.0,1.4,0.057,15.0,26.0,0.99448,3.36,0.45,9.5,Buena
683,6.0,0.5,0.0,1.4,0.057,15.0,26.0,0.99448,3.36,0.45,9.5,Buena
684,7.5,0.51,0.02,1.7,0.084,13.0,31.0,0.99538,3.36,0.54,10.5,Excelente
685,7.5,0.51,0.02,1.7,0.084,13.0,31.0,0.99538,3.36,0.54,10.5,Excelente
686,,,0.02,1.7,0.084,13.0,31.0,0.99538,3.36,0.54,10.5,Excelente
687,7.5,0.51,0.02,1.7,0.084,13.0,31.0,0.99538,3.36,0.54,10.5,Excelente
688,,0.42,0.48,2.6,0.077,8.0,20.0,0.99852,3.09,,11.0,Buena
689,7.2,0.655,0.03,1.8,0.078,7.0,12.0,0.99587,3.34,0.39,9.5,Buena
690,7.2,0.62,0.01,2.3,0.065,8.0,46.0,0.99332,3.32,,11.8,Excelente
691,7.6,0.645,0.03,1.9,0.086,14.0,57.0,0.9969,3.37,0.46,10.3,Buena
692,6.1,0.32,0.25,1.8,0.086,5.0,32.0,0.99464,3.36,0.44,10.1,Buena
693,7.3,0.43,0.24,2.5,0.078,27.0,67.0,0.99648,3.6,0.59,11.1,Excelente
694,7.4,0.64,0.17,5.4,0.168,52.0,98.0,0.99736,3.28,0.5,9.5,Buena
695,11.6,0.475,0.4,1.4,0.091,6.0,28.0,0.99704,3.07,0.65,10.0333333333333,Excelente
696,7.3,0.74,0.08,1.7,0.094,10.0,45.0,0.99576,3.24,0.5,9.8,Buena
697,,0.54,0.3,2.2,0.088,9.0,105.0,0.99725,3.25,1.18,10.5,Excelente
698,8.0,0.77,0.32,2.1,0.079,16.0,74.0,0.99656,3.27,0.5,9.8,Excelente
699,7.5,0.58,0.56,3.1,0.153,5.0,14.0,0.99476,3.21,1.03,11.6,Excelente
700,8.7,0.78,0.51,1.7,0.415,12.0,66.0,0.99623,3.0,1.17,9.2,Buena
701,8.2,0.885,0.2,1.4,0.086,7.0,31.0,0.9946,3.11,,10.0,Buena
702,7.2,0.45,0.15,2.0,0.078,10.0,28.0,0.99609,3.29,0.51,9.9,Excelente
703,7.5,0.57,0.02,2.6,0.077,11.0,35.0,0.99557,3.36,0.62,10.8,Excelente
704,7.5,0.57,0.02,2.6,0.077,11.0,35.0,0.99557,3.36,0.62,10.8,Excelente
705,8.0,0.6,0.22,2.1,0.08,25.0,105.0,0.99613,3.3,0.49,9.9,Buena
706,8.0,0.6,0.22,2.1,0.08,25.0,105.0,0.99613,3.3,0.49,9.9,Buena
707,7.1,0.755,0.15,1.8,0.107,20.0,84.0,0.99593,3.19,,9.5,Buena
708,8.0,0.81,0.25,3.4,0.076,34.0,85.0,0.99668,3.19,0.42,9.2,Buena
709,7.4,0.64,0.07,1.8,0.1,8.0,23.0,0.9961,3.3,0.58,9.6,Buena
710,6.6,0.64,0.31,6.1,0.083,7.0,49.0,0.99718,3.35,0.68,10.3,Buena
711,6.0,0.49,0.0,2.3,0.068,15.0,33.0,0.99292,3.58,0.59,12.5,Excelente
712,8.0,0.64,0.22,2.4,0.094,5.0,33.0,0.99612,3.37,0.58,11.0,Buena
713,7.1,0.62,0.06,1.3,0.07,5.0,12.0,0.9942,3.17,,9.8,Buena
714,8.0,0.52,0.25,2.0,0.078,19.0,59.0,0.99612,3.3,0.48,10.2,Buena
715,8.6,0.685,0.1,1.6,0.092,3.0,12.0,0.99745,,0.65,9.55,Excelente
716,8.7,0.675,0.1,1.6,0.09,4.0,11.0,0.99745,3.31,0.65,9.55,Buena
717,,0.59,0.26,2.0,0.08,17.0,104.0,0.99584,3.28,0.52,9.9,Buena
718,,0.67,0.0,2.2,0.068,10.0,24.0,0.9956,3.42,0.72,11.1,Excelente
719,,0.69,0.21,2.1,0.08,33.0,141.0,0.9962,3.25,0.51,9.9,Buena
720,7.6,0.3,0.42,2.0,0.052,6.0,24.0,0.9963,3.44,0.82,11.9,Excelente
721,8.0,0.5,0.39,2.6,0.0819999999999999,12.0,46.0,0.9985,3.43,0.62,10.7,Excelente
722,8.2,0.24,0.34,5.1,0.062,8.0,22.0,0.9974,3.22,0.94,10.9,Excelente
723,,0.51,0.0,2.1,0.064,40.0,54.0,0.995,3.54,0.93,10.7,Excelente
724,6.0,0.51,0.0,2.1,0.064,40.0,54.0,0.995,3.54,0.93,10.7,Excelente
725,6.6,,0.0,1.8,0.0819999999999999,5.0,16.0,0.9936,3.5,0.44,11.9,Excelente
726,6.4,0.47,0.4,2.4,0.071,8.0,19.0,0.9963,3.56,,10.6,Excelente
727,9.9,0.57,0.25,2.0,0.104,12.0,89.0,0.9963,3.04,0.9,10.1,Buena
728,,0.32,0.59,2.2,0.077,3.0,15.0,0.9994,,0.78,9.6,Buena
729,6.2,0.58,0.0,1.6,0.065,8.0,18.0,0.9966,3.56,0.84,9.4,Buena
730,10.0,,0.59,2.2,0.077,3.0,15.0,0.9994,3.2,0.78,9.6,Buena
731,7.8,0.53,0.01,1.6,0.077,3.0,19.0,0.995,3.16,0.46,9.8,Buena
732,7.7,0.64,0.21,,0.077,32.0,133.0,0.9956,3.27,0.45,9.9,Buena
733,7.8,0.53,0.01,1.6,0.077,3.0,19.0,0.995,3.16,0.46,9.8,Buena
734,7.5,0.4,0.18,1.6,0.079,24.0,58.0,0.9965,3.34,0.58,9.4,Buena
735,6.4,0.53,0.09,3.9,0.123,14.0,31.0,0.9968,3.5,0.67,11.0,Aceptable
736,7.6,0.41,0.33,2.5,0.078,6.0,23.0,0.9957,3.3,0.58,11.2,Buena
737,7.4,,0.24,1.8,0.066,18.0,47.0,0.9956,3.37,0.62,10.4,Buena
738,10.2,0.54,0.37,15.4,0.214,55.0,95.0,1.00369,3.18,0.77,9.0,Excelente
739,10.0,0.38,0.38,1.6,0.1689999999999999,27.0,90.0,0.99914,3.15,0.65,8.5,Buena
740,6.8,0.915,0.29,4.8,0.07,15.0,39.0,0.99577,3.53,0.54,11.1,Buena
741,7.0,0.59,0.0,1.7,0.052,3.0,8.0,0.996,3.41,0.47,10.3,Buena
742,7.3,,0.02,2.2,0.072,31.0,92.0,0.99566,3.32,,11.066666666666698,Excelente
743,6.9,0.58,0.2,1.75,0.0579999999999999,8.0,22.0,0.99322,3.38,0.49,11.7,Buena
744,7.4,0.785,0.19,5.2,0.094,19.0,98.0,0.99713,,0.52,9.6,Excelente
745,6.8,0.67,0.0,1.9,0.08,22.0,39.0,0.99701,3.4,0.74,9.7,Buena
746,6.5,0.9,0.0,1.6,0.052,9.0,17.0,0.99467,3.5,0.63,10.9,Excelente
747,7.6,0.49,0.33,1.9,0.074,27.0,85.0,0.99706,3.41,0.58,9.0,Buena
748,8.4,0.29,0.4,1.7,0.067,8.0,20.0,0.99603,3.39,0.6,10.5,Buena
749,6.4,0.42,0.09,2.3,0.054,34.0,64.0,0.99724,3.41,0.68,10.4,Excelente
750,6.2,0.785,0.0,2.1,0.06,6.0,13.0,0.99664,3.59,0.61,10.0,Aceptable
751,6.9,0.63,0.01,2.4,0.076,14.0,39.0,0.99522,3.34,0.53,10.8,Excelente
752,6.8,0.59,0.1,1.7,0.063,34.0,53.0,0.9958,3.41,0.67,9.7,Buena
753,,1.04,0.08,2.3,0.067,19.0,32.0,0.99648,3.52,0.57,11.0,Aceptable
754,10.0,0.69,0.11,1.4,0.084,8.0,24.0,0.99578,2.88,0.47,9.7,Buena
755,6.7,,0.08,3.75,0.067,8.0,16.0,0.99334,3.43,,12.6,Buena
756,7.6,0.35,0.6,2.6,0.073,23.0,44.0,0.99656,3.38,0.79,11.1,Excelente
757,9.9,0.5,0.5,13.8,0.205,48.0,82.0,1.00242,3.16,,8.8,Buena
758,9.9,0.5,0.5,13.8,0.205,48.0,82.0,1.00242,3.16,0.75,8.8,Buena
759,8.2,0.28,0.6,3.0,0.104,10.0,22.0,0.99828,3.39,0.68,10.6,Buena
760,5.6,0.62,0.03,1.5,0.08,6.0,13.0,0.99498,3.66,0.62,10.1,Aceptable
761,8.2,0.28,0.6,3.0,0.104,10.0,22.0,0.99828,3.39,0.68,10.6,Buena
762,7.0,0.655,0.16,2.1,0.074,8.0,25.0,0.99606,3.37,0.55,9.7,Buena
763,6.8,0.68,0.21,2.1,0.07,9.0,23.0,0.99546,3.38,,10.3,Buena
764,6.0,0.64,0.05,1.9,0.066,9.0,17.0,0.99496,3.52,0.78,10.6,Buena
765,5.6,0.54,0.04,1.7,0.049,5.0,13.0,0.9942,3.72,0.58,11.4,Buena
766,6.2,0.65,0.06,1.6,0.05,6.0,18.0,0.99348,3.57,,11.95,Buena
767,7.7,0.54,0.26,1.9,0.089,23.0,147.0,0.99636,3.26,0.59,9.7,Buena
768,7.0,,0.02,1.9,0.08,15.0,28.0,0.99492,3.35,0.81,10.6,Excelente
769,,0.74,0.03,2.3,0.054,7.0,16.0,0.99508,3.45,0.63,11.5,Excelente
770,6.9,0.74,0.03,,0.054,7.0,16.0,0.99508,3.45,0.63,11.5,Excelente
771,7.8,0.82,0.29,4.3,0.083,21.0,64.0,0.99642,3.16,0.53,9.4,Buena
772,6.2,,0.39,2.5,0.077,6.0,14.0,0.99555,3.51,0.69,11.0,Excelente
773,7.5,0.38,0.57,2.3,0.106,5.0,12.0,0.99605,3.36,0.55,11.4,Excelente
774,6.8,0.81,0.05,2.0,0.07,6.0,14.0,0.99562,3.51,0.66,10.8,Excelente
775,7.5,0.38,0.57,2.3,0.106,5.0,12.0,0.99605,3.36,0.55,11.4,Excelente
776,7.1,0.27,0.6,2.1,0.074,17.0,25.0,0.99814,3.38,,10.6,Excelente
777,7.9,0.18,0.4,1.8,0.062,7.0,20.0,0.9941,3.28,0.7,11.1,Buena
778,6.4,0.36,0.21,2.2,0.047,26.0,48.0,0.99661,3.47,0.77,9.7,Excelente
779,,0.69,0.04,2.1,0.068,19.0,27.0,0.99712,,0.67,9.8,Buena
780,6.9,0.84,0.21,4.1,0.074,16.0,65.0,0.99842,3.53,0.72,9.23333333333333,Excelente
781,6.5,0.53,0.06,2.0,0.063,29.0,44.0,0.99489,3.38,0.83,10.3,Excelente
782,7.4,,0.46,2.2,0.114,7.0,20.0,0.99647,3.32,0.63,10.5,Buena
783,6.6,0.7,0.08,2.6,0.106,14.0,27.0,0.99665,,0.58,10.2,Buena
784,6.1,0.32,0.25,2.3,0.071,23.0,58.0,0.99633,3.42,0.97,10.6,Buena
785,6.8,0.48,0.25,2.0,0.076,29.0,61.0,0.9953,3.34,0.6,10.4,Buena
786,6.7,0.48,0.08,2.1,0.064,18.0,34.0,0.99552,3.33,0.64,9.7,Buena
787,6.8,0.47,0.08,2.2,0.064,18.0,38.0,0.99553,3.3,0.65,9.6,Excelente
788,7.9,0.29,0.49,2.2,0.096,21.0,59.0,0.99714,3.31,0.67,10.1,Excelente
789,7.1,0.69,0.08,2.1,0.063,42.0,52.0,0.99608,3.42,0.6,10.2,Excelente
790,6.6,0.44,0.09,2.2,0.063,9.0,18.0,0.99444,3.42,0.69,11.3,Excelente
791,6.1,0.705,0.1,2.8,0.081,13.0,28.0,0.99631,3.6,0.66,10.2,Buena
792,7.2,0.53,0.13,2.0,0.0579999999999999,18.0,22.0,0.99573,3.21,0.68,9.9,Excelente
793,,0.39,0.3,1.9,0.074,32.0,84.0,0.99717,3.39,,9.0,Buena
794,7.0,0.55,0.13,2.2,0.075,15.0,35.0,0.9959,3.36,0.59,9.7,Excelente
795,6.2,0.64,0.09,2.5,0.081,15.0,26.0,0.99538,3.57,,12.0,Buena
796,,0.52,0.08,4.4,0.071,11.0,32.0,0.99646,,0.63,11.6,Excelente
797,6.5,0.63,0.33,1.8,0.059,16.0,28.0,0.99531,3.36,0.64,10.1,Excelente
798,7.0,0.57,0.02,2.0,0.072,17.0,26.0,0.99575,3.36,0.61,10.2,Buena
799,7.1,0.67,0.0,2.3,0.083,18.0,27.0,0.99768,3.44,,9.4,Buena
800,6.3,0.68,0.01,3.7,0.103,32.0,54.0,0.99586,3.51,0.66,11.3,Excelente
801,7.3,0.735,0.0,,0.08,18.0,28.0,0.99765,3.41,0.6,9.4,Buena
802,6.6,0.88,0.04,2.2,0.066,12.0,20.0,0.99636,3.53,0.56,9.9,Buena
803,6.6,0.855,0.02,2.4,0.062,15.0,23.0,0.99627,3.54,0.6,11.0,Excelente
804,6.9,0.63,0.33,6.7,0.235,66.0,115.0,0.99787,3.22,,9.5,Buena
805,7.8,0.6,0.26,2.0,0.08,31.0,131.0,0.99622,3.21,0.52,9.9,Buena
806,7.8,0.6,0.26,2.0,0.08,31.0,131.0,0.99622,3.21,0.52,9.9,Buena
807,7.8,0.6,0.26,2.0,0.08,31.0,131.0,0.99622,3.21,,9.9,Buena
808,7.2,0.695,0.13,,0.076,12.0,20.0,0.99546,3.29,0.54,10.1,Buena
809,7.2,0.695,0.13,2.0,0.076,12.0,20.0,0.99546,3.29,0.54,10.1,Buena
810,6.7,0.67,0.02,1.9,0.061,26.0,42.0,0.99489,3.39,0.82,10.9,Excelente
811,,0.16,0.64,2.1,0.059,24.0,52.0,0.99494,3.34,0.71,11.2,Excelente
812,7.2,0.695,0.13,2.0,0.076,12.0,20.0,0.99546,3.29,,10.1,Buena
813,7.0,0.56,0.13,1.6,0.077,25.0,42.0,0.99629,3.34,0.59,9.2,Buena
814,,0.51,0.14,1.9,0.0559999999999999,15.0,34.0,0.99396,3.48,0.57,11.5,Excelente
815,6.4,0.36,0.53,2.2,0.23,19.0,35.0,0.9934,3.37,0.93,12.4,Excelente
816,6.4,0.38,0.14,2.2,0.038,15.0,25.0,0.99514,3.44,0.65,11.1,Excelente
817,7.3,0.69,0.32,2.2,0.069,35.0,104.0,0.99632,3.33,0.51,9.5,Buena
